379072753 	 1.11106 	 other biological processes 
379072753 	 1.11106 	 transport   
379072756 	 0.552288 	 cell organization and biogenesis
379072758 	 0.764334 	 cell adhesion  
379072759 	 0.50257 	 other biological processes 
379072759 	 0.50257 	 signal transduction  
379072759 	 0.50257 	 transport   
379072761 	 0.76335 	 RNA metabolism  
379072761 	 0.76335 	 other metabolic processes 
379072762 	 0.442442 	 DNA metabolism  
379072762 	 0.442442 	 cell cycle and proliferation
379072762 	 0.442442 	 cell organization and biogenesis
379072762 	 0.442442 	 other biological processes 
379072763 	 0.592282 	 other biological processes 
379072763 	 0.592282 	 other metabolic processes 
379072763 	 0.592282 	 protein metabolism  
379072764 	 0.773241 	 transport   
379072772 	 0.689241 	 cell organization and biogenesis
379072772 	 0.689241 	 developmental processes  
379072772 	 0.689241 	 other biological processes 
379072772 	 0.689241 	 other metabolic processes 
379072772 	 0.689241 	 transport   
379072775 	 0.53775 	 RNA metabolism  
379072775 	 0.53775 	 cell organization and biogenesis
379072775 	 0.53775 	 other biological processes 
379072779 	 0.481619 	 other metabolic processes 
379072782 	 0.402079 	 RNA metabolism  
379072782 	 0.402079 	 other biological processes 
379072785 	 1.0464 	 RNA metabolism  
379072785 	 1.0464 	 developmental processes  
379072788 	 0.506499 	 other biological processes 
379072794 	 0.546124 	 signal transduction  
379072794 	 0.546124 	 transport   
379072796 	 0.430313 	 other metabolic processes 
379072797 	 0.919021 	 RNA metabolism  
379072797 	 0.919021 	 cell organization and biogenesis
379072797 	 0.919021 	 other metabolic processes 
379072797 	 0.919021 	 protein metabolism  
379072798 	 0.569863 	 cell organization and biogenesis
379072798 	 0.569863 	 cell-cell signaling  
379072798 	 0.569863 	 developmental processes  
379072798 	 0.569863 	 other biological processes 
379072798 	 0.569863 	 transport   
379072801 	 0.259086 	 cell organization and biogenesis
379072802 	 0.402691 	 protein metabolism  
379072806 	 0.360158 	 other metabolic processes 
379072808 	 0.685396 	 other metabolic processes 
379072812 	 0.755046 	 DNA metabolism  
379072812 	 0.755046 	 stress response  
379072814 	 0.758242 	 RNA metabolism  
379072814 	 0.758242 	 other metabolic processes 
379072815 	 0.418246 	 RNA metabolism  
379072816 	 0.703233 	 other metabolic processes 
379072816 	 0.703233 	 protein metabolism  
379072818 	 0.41386 	 protein metabolism  
379072819 	 0.358968 	 developmental processes  
379072819 	 0.358968 	 other biological processes 
379072820 	 0.59692 	 other biological processes 
379072820 	 0.59692 	 transport   
379072821 	 0.38206 	 cell organization and biogenesis
379072821 	 0.38206 	 other biological processes 
379072823 	 0.748816 	 other biological processes 
379072823 	 0.748816 	 protein metabolism  
379072824 	 0.76314 	 cell organization and biogenesis
379072824 	 0.76314 	 cell-cell signaling  
379072824 	 0.76314 	 death   
379072824 	 0.76314 	 other biological processes 
379072824 	 0.76314 	 other metabolic processes 
379072824 	 0.76314 	 protein metabolism  
379072824 	 0.76314 	 signal transduction  
379072824 	 0.76314 	 stress response  
379072824 	 0.76314 	 transport   
379072826 	 0.365373 	 RNA metabolism  
379072826 	 0.365373 	 cell cycle and proliferation
379072826 	 0.365373 	 cell organization and biogenesis
379072826 	 0.365373 	 other metabolic processes 
379072826 	 0.365373 	 protein metabolism  
379072830 	 0.656607 	 other metabolic processes 
379072833 	 0.867617 	 protein metabolism  
379072834 	 0.691394 	 cell cycle and proliferation
379072834 	 0.691394 	 cell organization and biogenesis
379072834 	 0.691394 	 other biological processes 
379072834 	 0.691394 	 other metabolic processes 
379072834 	 0.691394 	 protein metabolism  
379072835 	 0.791945 	 other metabolic processes 
379072835 	 0.791945 	 signal transduction  
379072836 	 0.470964 	 DNA metabolism  
379072836 	 0.470964 	 other metabolic processes 
379072836 	 0.470964 	 stress response  
379072838 	 0.819946 	 DNA metabolism  
379072838 	 0.819946 	 RNA metabolism  
379072838 	 0.819946 	 cell organization and biogenesis
379072838 	 0.819946 	 death   
379072840 	 0.66024 	 transport   
379072845 	 0.281132 	 other biological processes 
379072845 	 0.281132 	 other metabolic processes 
379072845 	 0.281132 	 protein metabolism  
379072849 	 0.902012 	 other metabolic processes 
379072858 	 0.754618 	 cell organization and biogenesis
379072858 	 0.754618 	 other metabolic processes 
379072858 	 0.754618 	 protein metabolism  
